SCHOOLNAME,STATE,BOARD
"Jawahar Navodaya Vidyalayas Lapathy, Nicobar - Andaman and Nicobar Islands",ANDAMAN AND NICOBAR,CBSE
Jawahar Navodaya Vidyalayas Panchvati Andaman - Andaman and Nicobar Islands,ANDAMAN AND NICOBAR,CBSE
Naval Public School Minnie Bay Junglighat - Andaman and Nicobar Island,ANDAMAN AND NICOBAR,CBSE
Blair International school,ANDAMAN AND NICOBAR,IB
Vijayavani Residential School ICSE CHITTOOR Andhra Pradesh,ANDHRA PRADESH,
Vasishta School ICSE CHITTOOR Andhra Pradesh,ANDHRA PRADESH,
Rishi Valley School ICSE CHITTOOR Andhra Pradesh,ANDHRA PRADESH,ICSE
Emmaus - Swiss Referral Hospital School ICSE CHITTOOR Andhra Pradesh,ANDHRA PRADESH,ICSE
The Peepal Grove School ICSE CHITTOOR Andhra Pradesh,ANDHRA PRADESH,ICSE
Bhuvanagiri Public School ICSE YSR DISTRICT Andhra Pradesh,ANDHRA PRADESH,ICSE
Queen Mary's School ICSE YSR DISTRICT Andhra Pradesh,ANDHRA PRADESH,ICSE
The Hyderabad Public School ICSE YSR DISTRICT Andhra Pradesh,ANDHRA PRADESH,ICSE
Paramjyoti Public School ICSE EAST GODAVARI Andhra Pradesh,ANDHRA PRADESH,ICSE
St. Joseph's Convent School ICSE EAST GODAVARI Andhra Pradesh,ANDHRA PRADESH,ICSE
St. Ann's School ICSE EAST GODAVARI Andhra Pradesh,ANDHRA PRADESH,ICSE
Sri Sathya Sai Gurukulam E.m. School ICSE EAST GODAVARI Andhra Pradesh,ANDHRA PRADESH,ICSE
The Future Kid's School ICSE EAST GODAVARI Andhra Pradesh,ANDHRA PRADESH,ICSE
Loyola Public School ICSE GUNTUR Andhra Pradesh,ANDHRA PRADESH,ICSE
St. Joseph's Public School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Sri Sai Public School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Seventh Day Adventist High School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Johnson Grammar School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
St. Martin's High School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Gitanjali School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Adarsh Public School Vinayak Nagar Pedagantyuda - Andhra Pradesh,ANDHRA PRADESH,ICSE
Air Force School Air Force Academy Hyderabad - Andhra Pradesh,ANDHRA PRADESH,ICSE
Air Force School Begumpet Air Force Station Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Air Force School Hakimpet Secunderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Akshara School N F C L Township Kakinada - Andhra Pradesh,ANDHRA PRADESH,CBSE
Alluri Sitaramaraju Public School Arakkuvalley Visakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Anantha Vidya Niketan Nh-7 Vadiyampeta Anantapur - Andhra Pradesh,ANDHRA PRADESH,CBSE
Ansari Oxford Central School Ansari Nagar Cuddapah - Andhra Pradesh,ANDHRA PRADESH,CBSE
Army School No. 2 Bolarum Secundarabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Army School Ramakrishnapuram Secunderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Ashram Public School Pithapuram Road Kakinada - Andhra Pradesh,ANDHRA PRADESH,CBSE
Atkinson High School Iron Market Gollapudi - Andhra Pradesh,ANDHRA PRADESH,CBSE
Atomic Energy Central School Dae Colony Ecil Post Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Atomic Energy Central School E C I L Campus Near Tifr Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Atomic Energy Central School Heavy Water Plant Colony Khammam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Aurobindo Public School Ravindra Nagar Nalgonda - Andhra Pradesh,ANDHRA PRADESH,CBSE
Azra Public School 10-2-510/1 Asif Nagar Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
B V Bhavan's Res Public School Pedatadepalli Post W.g - Andhra Pradesh,ANDHRA PRADESH,CBSE
B V Bhavans International Res Public Sc Bhimavaram West Godavary - Andhra Pradesh,ANDHRA PRADESH,CBSE
